구분,최종자산,총수익률,연복리,MDD,최악하루,최악3일,최악10일,최장회복기간,2010~2013구간수익률,2014~2026구간수익률,첫비현금진입일,CASH100일수,비고
ETF 실제 상장/조회 데이터 기준,1236059341,1136.06,15.88,-19.41,-13.6,-19.25,-12.57,498,12.95,994.24,2014-07-01,1190,현재 업로드 CSV에서 계산. 2010~2014H1은 CASH 100%.
지수/환율 프록시 확장,,,,,,,,,,,,,v39 app.py에서 프록시 옵션으로 재실행 필요
